0YQVT1ME4G3999928,0.5,Tool Box,4,sss
138J6387R5R404455,2.5,Hinged,5,
1DQL1LHOWDJ517215,4,Snap,3,
1EF7NFU0EUT973245,3,,3,
1NGZ4FLKC0Y272420,4,Folding,5,
23XU4U8IFDL261229,0.5,Hinged,2,
2H6ZZF8OOXC822443,3,Roll-Up/Rolling,5,
2JS82H11FSA911163,3.5,Retractable,3,
2NMR3SMFNAZ813043,2.5,Snap,3,
3JLcarWCAYY553033,0.5,Retractable,5,
3WLVE4GIZOK699230,3.5,Folding,5,
5RCHA2RQSKN126776,1,Tool Box,4,
68T41LUUBBY587797,4,Roll-Up/Rolling,2,
6EO0EFPPJU8942538,1.5,Tool Box,2,
6HE6INXKVOC685258,0.5,Electric,5,
7754T022K8E889647,2,,2,
7PFC2F3KDN7669570,1.5,Folding,5,
7U1WAVAPBF2458008,1,Hinged,5,
83L3CNAESZD022827,4,Folding,5,
8AWRIWHIOB7240899,3.5,,3,
AKKYTP5OU6P046110,1,Snap,5,
AKYPYSGLLFN832831,3.5,Folding,3,
AUQIR5H4HRE068152,2.5,Roll-Up/Rolling,2,
AYMY58PYO6D565858,3,Tool Box,4,
B8R5GVJM8U6577878,1.5,Snap,5,
BFTNOGUH70U239681,4,Snap,4,
BROGP21GT25414842,1,Electric,4,
C2JK28BV6S1248001,0.5,Snap,2,
C2SS48P7UYI831488,3.5,Electric,2,
CJJ5SBM35DI082557,3,Roll-Up/Rolling,2,
D1YNI86BAFG479600,3,Roll-Up/Rolling,5,
D5SBJR5NFWQ090407,3.5,Roll-Up/Rolling,3,
DQXE6GO6G5V238732,2,Hinged,3,
EQBIYSJUAOQ651323,2,Tool Box,4,
F63IMMDNGBM441376,2.5,Tool Box,2,
FSWKSU6C60V569652,2,Hinged,4,
G1P06L4HJ6H584223,2,,4,
GGEWPOMLDT6438413,3.5,Retractable,2,
GHQ048ABH46553056,3.5,Hinged,4,
GJN18I5K5B7472150,4,Retractable,4,
HYJR3P5MJII589050,2,Snap,3,
IGRV02IHT73140725,2,Hinged,5,
IHRJFBVFNUW829342,1.5,Snap,4,
J5DUNEJPB5K495242,1.5,Tool Box,2,
JGJDNZFK42R045945,1.5,Tool Box,3,
JOX151ZR3GE955194,2,Folding,3,
JS3TNLHZADY983948,3,Hinged,3,
KBXXCK3OQ7B192491,2.5,Electric,2,
KDDOFMA5505536025,1.5,Hinged,3,
KFDWFBUV5X0109490,3.5,,3,
KN4X2AB146B341868,1,Roll-Up/Rolling,2,
KNYT4XAJ1KK791804,4,Hinged,2,
LDMZ4BXPWOE239230,3.5,Folding,2,
LIQR1KMIZ00707485,0.5,Folding,3,
LMLJ20KCYXP867169,2.5,Snap,2,
LPMORGRY77A614138,2,Hinged,3,
MD0HGAJVEW8914201,2.5,Retractable,3,
MSDXHNXN7QI172357,3.5,Snap,4,
NTUHURHPI0H639059,3,,3,
O583JPNPRFJ444212,0.5,Hinged,5,
ODZ0W6TMP44331893,1.5,Snap,3,
OLF4GTGBOPG333827,2,Retractable,5,
ORHEJZV7OOL232179,1,Hinged,4,
PHC3C1O8R1Q659241,2.5,Retractable,2,
Q04FS5KM3OG901738,1,Folding,5,
Q6CNI13ED0C199030,2.5,Electric,2,
QAS5AVWTM6E601144,3.5,Retractable,4,
R4EQ76G1HHV776360,1.5,Tool Box,3,
RCWIFAWFT3E015306,3.5,,4,
RU32GUAPYSR767349,2,Hinged,2,
T0QADA6YOL4031160,2,Roll-Up/Rolling,4,
T24YYPUH8J8042832,2,Retractable,5,
TO6RWDMW814286852,1,Roll-Up/Rolling,5,
TPWVCLGW5SF975070,4,Electric,5,
UBR5KSD76ZB411512,3,Folding,4,
UF6A7D3BENH287178,3.5,Roll-Up/Rolling,3,
URH3DGEQQ7S513356,3,,2,
V5NULLM2X1M103960,2,Snap,3,
WAKUE2I52W0243711,0.5,Hinged,5,
WO62TPHPUNV545044,2.5,Electric,4,
WRJTUEFBEKL053792,3,Roll-Up/Rolling,3,
XFN55MCIYNY954918,3.5,Retractable,2,
XTL7REP4G5A986109,2.5,Tool Box,3,
Y8C5IT8AQ05184927,2.5,Snap,4,
YXGLZG8ECDM958701,0.5,Retractable,5,
Z2RRAJH2X3J850942,1.5,Roll-Up/Rolling,5,
Z3BUCA4HE1G243690,0.5,Electric,4,
ZBJWXVPPM7K107746,0.5,Roll-Up/Rolling,5,
ZBPE1C11UOK224003,0.5,Roll-Up/Rolling,3,
ZSQLODTR32F951695,3,Retractable,4,
